"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/16/2021","43","Ozone","Pinedale","56-035-9991","AQS"
"04/17/2021","51","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/18/2021","48","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/19/2021","41","Ozone","Juel Spring","56-035-1002","AQS"
"04/20/2021","47","Ozone","Juel Spring","56-035-1002","AQS"
"04/21/2021","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/22/2021","61","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/23/2021","50","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/24/2021","51","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/25/2021","46","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/26/2021","42","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"04/27/2021","41","Ozone","Daniel South","56-035-0100","AQS"
"04/28/2021","58","Ozone","Pinedale","56-035-9991","AQS"
"04/29/2021","44","Ozone","Daniel South","56-035-0100","AQS"
"04/30/2021","51","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/01/2021","47","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/02/2021","44","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/03/2021","41","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/04/2021","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/05/2021","58","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/06/2021","64","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/07/2021","74","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/08/2021","50","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/09/2021","50","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/10/2021","43","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/11/2021","44","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/12/2021","50","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/13/2021","48","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/14/2021","51","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/15/2021","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/16/2021","64","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/17/2021","54","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/18/2021","58","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/19/2021","48","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/20/2021","80","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/21/2021","39","Ozone","Pinedale","56-035-9991","AQS"
"05/22/2021","44","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/23/2021","54","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/24/2021","42","Ozone","Big Piney Site #3","56-035-0700","AQS"
"05/25/2021","45","Ozone","Daniel South","56-035-0100","AQS"
"05/26/2021","46","Ozone","Juel Spring","56-035-1002","AQS"
"05/27/2021","54","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/28/2021","51","Ozone","Juel Spring","56-035-1002","AQS"
"05/29/2021","71","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/30/2021","67","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"05/31/2021","54","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"06/01/2021","51","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"06/02/2021","49","Ozone","Juel Spring","56-035-1002","AQS"
"06/03/2021","64","Ozone","Juel Spring","56-035-1002","AQS"
"06/04/2021","50","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"06/05/2021","47","Ozone","Pinedale","56-035-9991","AQS"
"06/06/2021","93","Ozone","Daniel South","56-035-0100","AQS"
"06/07/2021","50","Ozone","Juel Spring","56-035-1002","AQS"
"06/08/2021","87","Ozone","Pinedale","56-035-9991","AQS"
"06/09/2021","49","Ozone","Juel Spring","56-035-1002","AQS"
"06/10/2021","48","Ozone","Daniel South","56-035-0100","AQS"
"06/11/2021","71","Ozone","Juel Spring","56-035-1002","AQS"
"06/12/2021","51","Ozone","Juel Spring","56-035-1002","AQS"
"06/13/2021","46","Ozone","Big Piney Site #3","56-035-0700","AQS"
"06/14/2021","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"06/15/2021","51","Ozone","Big Piney Site #3","56-035-0700","AQS"
"06/16/2021","49","Ozone","Pinedale","56-035-9991","AQS"
"06/17/2021","49","Ozone","Daniel South","56-035-0100","AQS"
"06/18/2021","51","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"06/19/2021","49","Ozone","Daniel South","56-035-0100","AQS"
"06/20/2021","44","Ozone","Juel Spring","56-035-1002","AQS"
"06/21/2021","44","Ozone","Juel Spring","56-035-1002","AQS"
"06/22/2021","50","Ozone","Juel Spring","56-035-1002","AQS"
"06/23/2021","49","Ozone","Juel Spring","56-035-1002","AQS"
"06/24/2021","45","Ozone","Daniel South","56-035-0100","AQS"
"06/25/2021","47","Ozone","Juel Spring","56-035-1002","AQS"
"06/26/2021","45","Ozone","Daniel South","56-035-0100","AQS"
"06/27/2021","44","Ozone","Daniel South","56-035-0100","AQS"
"06/28/2021","42","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"06/29/2021","47","Ozone","Big Piney Site #3","56-035-0700","AQS"
"06/30/2021","71","Ozone","Juel Spring","56-035-1002","AQS"
"07/01/2021","74","Ozone","Juel Spring","56-035-1002","AQS"
"07/02/2021","50","Ozone","Juel Spring","56-035-1002","AQS"
"07/03/2021","58","Ozone","Juel Spring","56-035-1002","AQS"
"07/04/2021","54","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"07/05/2021","54","Ozone","Pinedale","56-035-9991","AQS"
"07/06/2021","48","Ozone","Pinedale","56-035-9991","AQS"
"07/07/2021","51","Ozone","Juel Spring","56-035-1002","AQS"
"07/08/2021","64","Ozone","Daniel South","56-035-0100","AQS"
"07/09/2021","101","Ozone","Pinedale","56-035-9991","AQS"
"07/10/2021","80","Ozone","Juel Spring","56-035-1002","AQS"
"07/11/2021","77","Ozone","Juel Spring","56-035-1002","AQS"
"07/12/2021","77","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"07/13/2021","74","Ozone","Big Piney Site #3","56-035-0700","AQS"
"07/14/2021","97","Ozone","Juel Spring","56-035-1002","AQS"
"07/15/2021","71","Ozone","Juel Spring","56-035-1002","AQS"
"07/16/2021","74","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"07/17/2021","74","Ozone","Juel Spring","56-035-1002","AQS"
"07/18/2021","77","Ozone","Daniel South","56-035-0100","AQS"
"07/19/2021","84","Ozone","Juel Spring","56-035-1002","AQS"
"07/20/2021","64","Ozone","Juel Spring","56-035-1002","AQS"
"07/21/2021","84","Ozone","Daniel South","56-035-0100","AQS"
"07/22/2021","77","Ozone","Daniel South","56-035-0100","AQS"
"07/23/2021","77","Ozone","Juel Spring","56-035-1002","AQS"
"07/24/2021","90","Ozone","Juel Spring","56-035-1002","AQS"
"07/25/2021","108","Ozone","Juel Spring","56-035-1002","AQS"
"07/26/2021","133","Ozone","Pinedale","56-035-9991","AQS"
"07/27/2021","101","Ozone","Daniel South","56-035-0100","AQS"
"07/28/2021","74","Ozone","Daniel South","56-035-0100","AQS"
"07/29/2021","100","Ozone","Juel Spring","56-035-1002","AQS"
"07/30/2021","87","Ozone","Boulder","56-035-0099","AQS"
"07/31/2021","77","Ozone","Juel Spring","56-035-1002","AQS"
"08/01/2021","80","Ozone","Juel Spring","56-035-1002","AQS"
"08/02/2021","80","Ozone","Juel Spring","56-035-1002","AQS"
"08/03/2021","58","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"08/04/2021","66","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/05/2021","58","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"08/06/2021","87","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/07/2021","97","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/08/2021","93","Ozone","Juel Spring","56-035-1002","AQS"
"08/09/2021","61","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"08/10/2021","47","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"08/11/2021","44","Ozone","Pinedale","56-035-9991","AQS"
"08/12/2021","41","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/13/2021","50","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"08/14/2021","54","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/15/2021","75","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/16/2021","84","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/17/2021","86","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/18/2021","58","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/19/2021","71","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/20/2021","40","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/21/2021","58","Ozone","Pinedale","56-035-9991","AQS"
"08/22/2021","93","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/23/2021","87","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/24/2021","67","Ozone","Daniel South","56-035-0100","AQS"
"08/25/2021","51","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/26/2021","67","Ozone","Juel Spring","56-035-1002","AQS"
"08/27/2021","77","Ozone","Juel Spring","56-035-1002","AQS"
"08/28/2021","71","Ozone","Big Piney Site #3","56-035-0700","AQS"
"08/29/2021","67","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"08/30/2021","90","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"08/31/2021","130","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"09/01/2021","52","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"09/02/2021","50","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"09/03/2021","58","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/04/2021","77","Ozone","Pinedale","56-035-9991","AQS"
"09/05/2021","74","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/06/2021","90","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/07/2021","111","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"09/08/2021","72","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"09/09/2021","51","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"09/10/2021","48","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/11/2021","46","Ozone","Pinedale","56-035-9991","AQS"
"09/12/2021","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/13/2021","50","Ozone","Pinedale","56-035-9991","AQS"
"09/14/2021","80","Ozone","Pinedale","56-035-9991","AQS"
"09/15/2021","97","Ozone","Big Piney Site #3","56-035-0700","AQS"
"09/16/2021","58","Ozone","Juel Spring","56-035-1002","AQS"
"09/17/2021","54","Ozone","Pinedale","56-035-9991","AQS"
"09/18/2021","49","Ozone","Pinedale","56-035-9991","AQS"
"09/19/2021","44","Ozone","Juel Spring","56-035-1002","AQS"
"09/20/2021","39","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/21/2021","43","Ozone","Juel Spring","56-035-1002","AQS"
"09/22/2021","45","Ozone","Pinedale","56-035-9991","AQS"
"09/23/2021","49","Ozone","Juel Spring","56-035-1002","AQS"
"09/24/2021","44","Ozone","Big Piney Site #3","56-035-0700","AQS"
"09/25/2021","47","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/26/2021","54","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/27/2021","77","Ozone","Juel Spring","56-035-1002","AQS"
"09/28/2021","54","PM2.5","Not Available","56-035-9000","AQS"
"09/29/2021","47","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"09/30/2021","44","Ozone","Daniel South","56-035-0100","AQS"
"10/01/2021","48","Ozone","Daniel South","56-035-0100","AQS"
"10/02/2021","48","Ozone","Juel Spring","56-035-1002","AQS"
"10/03/2021","46","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"10/04/2021","46","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"10/05/2021","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"10/06/2021","38","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/07/2021","37","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"10/08/2021","37","Ozone","Pinedale","56-035-9991","AQS"
"10/09/2021","36","Ozone","Pinedale","56-035-9991","AQS"
"10/10/2021","38","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/11/2021","39","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"10/12/2021","35","Ozone","Juel Spring","56-035-1002","AQS"
"10/13/2021","36","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/14/2021","36","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/15/2021","39","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/16/2021","42","Ozone","Pinedale","56-035-9991","AQS"
"10/17/2021","43","Ozone","Pinedale","56-035-9991","AQS"
"10/18/2021","48","Ozone","Juel Spring","56-035-1002","AQS"
"10/19/2021","44","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/20/2021","45","Ozone","Daniel South","56-035-0100","AQS"
"10/21/2021","41","Ozone","Pinedale","56-035-9991","AQS"
"10/22/2021","42","Ozone","Juel Spring","56-035-1002","AQS"
"10/23/2021","41","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/24/2021","41","Ozone","Juel Spring","56-035-1002","AQS"
"10/25/2021","35","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/26/2021","36","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/27/2021","37","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/28/2021","35","Ozone","Pinedale","56-035-9991","AQS"
"10/29/2021","32","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/30/2021","31","Ozone","Big Piney Site #3","56-035-0700","AQS"
"10/31/2021","27","Ozone","Juel Spring","56-035-1002","AQS"
"11/01/2021","23","Ozone","Pinedale","56-035-9991","AQS"
"11/02/2021","35","Ozone","Pinedale","56-035-9991","AQS"
"11/03/2021","34","Ozone","Juel Spring","56-035-1002","AQS"
"11/04/2021","35","Ozone","Pinedale","56-035-9991","AQS"
"11/05/2021","40","Ozone","Juel Spring","56-035-1002","AQS"
"11/06/2021","38","Ozone","Pinedale","56-035-9991","AQS"
"11/07/2021","41","Ozone","Pinedale","56-035-9991","AQS"
"11/08/2021","40","Ozone","Juel Spring","56-035-1002","AQS"
"11/09/2021","41","Ozone","Pinedale","56-035-9991","AQS"
"11/10/2021","45","Ozone","Juel Spring","56-035-1002","AQS"
"11/11/2021","42","Ozone","Pinedale","56-035-9991","AQS"
"11/12/2021","41","Ozone","Pinedale","56-035-9991","AQS"
"11/13/2021","38","Ozone","Pinedale","56-035-9991","AQS"
"11/14/2021","38","Ozone","Pinedale","56-035-9991","AQS"
"11/15/2021","34","Ozone","Juel Spring","56-035-1002","AQS"
"11/16/2021","44","Ozone","Pinedale","56-035-9991","AQS"
"11/17/2021","39","Ozone","Juel Spring","56-035-1002","AQS"
"11/18/2021","38","Ozone","Pinedale","56-035-9991","AQS"
"11/19/2021","37","Ozone","Pinedale","56-035-9991","AQS"
"11/20/2021","34","Ozone","Pinedale","56-035-9991","AQS"
"11/21/2021","35","Ozone","Daniel South","56-035-0100","AQS"
"11/22/2021","35","Ozone","Boulder","56-035-0099","AQS"
"11/23/2021","39","Ozone","Juel Spring","56-035-1002","AQS"
"11/24/2021","36","Ozone","Juel Spring","56-035-1002","AQS"
"11/25/2021","39","Ozone","Boulder","56-035-0099","AQS"
"11/26/2021","38","Ozone","Juel Spring","56-035-1002","AQS"
"11/27/2021","38","Ozone","Juel Spring","56-035-1002","AQS"
"11/28/2021","35","Ozone","Juel Spring","56-035-1002","AQS"
"11/29/2021","35","Ozone","Daniel South","56-035-0100","AQS"
"11/30/2021","41","Ozone","Pinedale","56-035-9991","AQS"
"12/01/2021","33","Ozone","Juel Spring","56-035-1002","AQS"
"12/02/2021","31","Ozone","Pinedale","56-035-9991","AQS"
"12/03/2021","37","Ozone","Pinedale","56-035-9991","AQS"
"12/04/2021","38","Ozone","Pinedale","56-035-9991","AQS"
"12/05/2021","44","Ozone","Daniel South","56-035-0100","AQS"
"12/06/2021","46","Ozone","Pinedale","56-035-9991","AQS"
"12/07/2021","44","Ozone","Pinedale","56-035-9991","AQS"
"12/08/2021","42","Ozone","Pinedale","56-035-9991","AQS"
"12/09/2021","43","Ozone","Juel Spring","56-035-1002","AQS"
"12/10/2021","38","Ozone","Pinedale","56-035-9991","AQS"
"12/11/2021","39","Ozone","Juel Spring","56-035-1002","AQS"
"12/12/2021","39","Ozone","Pinedale","56-035-9991","AQS"
"12/13/2021","40","Ozone","Pinedale","56-035-9991","AQS"
"12/14/2021","39","Ozone","Pinedale","56-035-9991","AQS"
"12/15/2021","39","Ozone","Daniel South","56-035-0100","AQS"
"12/16/2021","36","Ozone","Pinedale","56-035-9991","AQS"
"12/17/2021","45","Ozone","Pinedale","56-035-9991","AQS"
"12/18/2021","44","Ozone","Pinedale","56-035-9991","AQS"
"12/19/2021","41","Ozone","Pinedale","56-035-9991","AQS"
"12/20/2021","43","Ozone","Pinedale","56-035-9991","AQS"
"12/21/2021","47","Ozone","Pinedale","56-035-9991","AQS"
"12/22/2021","46","Ozone","Pinedale","56-035-9991","AQS"
"12/23/2021","39","Ozone","Juel Spring","56-035-1002","AQS"
"12/24/2021","43","Ozone","Juel Spring","56-035-1002","AQS"
"12/25/2021","43","Ozone","Juel Spring","56-035-1002","AQS"
"12/26/2021","42","Ozone","Juel Spring","56-035-1002","AQS"
"12/27/2021","43","Ozone","Big Piney Site #3","56-035-0700","AQS"
"12/28/2021","44","Ozone","Juel Spring","56-035-1002","AQS"
"12/29/2021","40","Ozone","Daniel South","56-035-0100","AQS"
"12/30/2021","43","Ozone","Pinedale","56-035-9991","AQS"
"12/31/2021","42","Ozone","Juel Spring","56-035-1002","AQS"
"01/01/2022","42","Ozone","Pinedale","56-035-9991","AQS"
"01/02/2022","42","Ozone","Daniel South","56-035-0100","AQS"
"01/03/2022","43","Ozone","Juel Spring","56-035-1002","AQS"
"01/04/2022","46","Ozone","Juel Spring","56-035-1002","AQS"
"01/05/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"01/06/2022","43","Ozone","Boulder","56-035-0099","AQS"
"01/07/2022","46","PM2.5","Pinedale Gaseous","56-035-0101","AQS"
"01/08/2022","44","Ozone","Juel Spring","56-035-1002","AQS"
"01/09/2022","44","Ozone","Juel Spring","56-035-1002","AQS"
"01/10/2022","46","Ozone","Juel Spring","56-035-1002","AQS"
"01/11/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"01/12/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"01/13/2022","47","Ozone","Daniel South","56-035-0100","AQS"
"01/14/2022","44","Ozone","Boulder","56-035-0099","AQS"
"01/15/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"01/16/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"01/17/2022","44","Ozone","Boulder","56-035-0099","AQS"
"01/18/2022","45","Ozone","Boulder","56-035-0099","AQS"
"01/19/2022","42","Ozone","Daniel South","56-035-0100","AQS"
"01/20/2022","41","Ozone","Pinedale","56-035-9991","AQS"
"01/21/2022","39","Ozone","Pinedale","56-035-9991","AQS"
"01/22/2022","41","Ozone","Pinedale","56-035-9991","AQS"
"01/23/2022","44","Ozone","Pinedale","56-035-9991","AQS"
"01/24/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"01/25/2022","44","Ozone","Boulder","56-035-0099","AQS"
"01/26/2022","44","Ozone","Boulder","56-035-0099","AQS"
"01/27/2022","44","Ozone","Juel Spring","56-035-1002","AQS"
"01/28/2022","46","Ozone","Boulder","56-035-0099","AQS"
"01/29/2022","48","Ozone","Boulder","56-035-0099","AQS"
"01/30/2022","46","Ozone","Boulder","56-035-0099","AQS"
"01/31/2022","45","Ozone","Juel Spring","56-035-1002","AQS"
"02/01/2022","43","Ozone","Juel Spring","56-035-1002","AQS"
"02/02/2022","43","Ozone","Pinedale","56-035-9991","AQS"
"02/03/2022","44","Ozone","Pinedale","56-035-9991","AQS"
"02/04/2022","44","Ozone","Boulder","56-035-0099","AQS"
"02/05/2022","44","Ozone","Juel Spring","56-035-1002","AQS"
"02/06/2022","44","Ozone","Daniel South","56-035-0100","AQS"
"02/07/2022","46","Ozone","Pinedale","56-035-9991","AQS"
"02/08/2022","49","Ozone","Daniel South","56-035-0100","AQS"
"02/09/2022","46","Ozone","Daniel South","56-035-0100","AQS"
"02/10/2022","43","Ozone","Pinedale","56-035-9991","AQS"
"02/11/2022","48","Ozone","Pinedale","56-035-9991","AQS"
"02/12/2022","46","Ozone","Daniel South","56-035-0100","AQS"
"02/13/2022","46","Ozone","Pinedale","56-035-9991","AQS"
"02/14/2022","44","Ozone","Daniel South","56-035-0100","AQS"
"02/15/2022","47","Ozone","Daniel South","56-035-0100","AQS"
"02/16/2022","40","Ozone","Daniel South","56-035-0100","AQS"
"02/17/2022","42","Ozone","Pinedale","56-035-9991","AQS"
"02/18/2022","42","Ozone","Juel Spring","56-035-1002","AQS"
"02/19/2022","42","Ozone","Pinedale","56-035-9991","AQS"
"02/20/2022","43","Ozone","Pinedale","56-035-9991","AQS"
"02/21/2022","45","Ozone","Pinedale","56-035-9991","AQS"
"02/22/2022","38","Ozone","Juel Spring","56-035-1002","AQS"
"02/23/2022","40","Ozone","Pinedale","56-035-9991","AQS"
"02/24/2022","42","Ozone","Juel Spring","56-035-1002","AQS"
"02/25/2022","43","Ozone","Juel Spring","56-035-1002","AQS"
"02/26/2022","44","Ozone","Boulder","56-035-0099","AQS"
"02/27/2022","47","Ozone","Pinedale","56-035-9991","AQS"
"02/28/2022","44","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"03/01/2022","40","Ozone","Pinedale","56-035-9991","AQS"
"03/02/2022","42","Ozone","Juel Spring","56-035-1002","AQS"
"03/03/2022","44","Ozone","Juel Spring","56-035-1002","AQS"
"03/04/2022","44","Ozone","Pinedale","56-035-9991","AQS"
"03/05/2022","38","Ozone","Boulder","56-035-0099","AQS"
"03/06/2022","42","Ozone","Juel Spring","56-035-1002","AQS"
"03/07/2022","45","Ozone","Juel Spring","56-035-1002","AQS"
"03/08/2022","44","Ozone","Daniel South","56-035-0100","AQS"
"03/09/2022","44","Ozone","Juel Spring","56-035-1002","AQS"
"03/10/2022","46","Ozone","Daniel South","56-035-0100","AQS"
"03/11/2022","48","Ozone","Juel Spring","56-035-1002","AQS"
"03/12/2022","46","Ozone","Daniel South","56-035-0100","AQS"
"03/13/2022","46","Ozone","Daniel South","56-035-0100","AQS"
"03/14/2022","47","Ozone","Juel Spring","56-035-1002","AQS"
"03/15/2022","49","Ozone","Pinedale Gaseous","56-035-0101","AQS"
"03/16/2022","46","Ozone","Juel Spring","56-035-1002","AQS"
"03/17/2022","46","Ozone","Pinedale","56-035-9991","AQS"
"03/18/2022","46","Ozone","Pinedale","56-035-9991","AQS"
"03/19/2022","48","Ozone","Juel Spring","56-035-1002","AQS"
"03/20/2022","48","Ozone","Pinedale","56-035-9991","AQS"
